"newsletter","date","headline","body"
"Box of Amazing","2022-05-08 06:01:12+00:00","Refind – Get smarter every day","Every day we pick 7 links from around the web for you, tailored to your interests. Loved by 50k+ curious minds."
"Box of Amazing","2022-05-08 06:01:12+00:00","Fast, Cheap, and Out of Control: Inside Shein’s Sudden Rise","Last fall, in the stagnation of pandemic life, I became fascinated with videos of influencers standing in their bedrooms and trying on clothes from a company called Shein."
"Box of Amazing","2022-05-08 06:01:12+00:00","Pity the Billionaire, Marc Andreessen Edition","Silicon Valley’s oligarch class can’t stop feeling sorry for itself. Marc Andreessen, the venture capitalist, has launched a social-media campaign to convince people that elite tech titans are being persecuted."
"Box of Amazing","2022-05-08 06:01:12+00:00","Inside Elon Musk’s Big Plans for Twitter","Here’s what Mr. Musk is projecting for Twitter’s finances over the next few years, according to a pitch deck he presented to investors. Elon Musk has never been accused of dreaming small."
"Box of Amazing","2022-05-08 06:01:12+00:00","A visit to the human factory","Will Jackson, CEO of robotics company Engineered Arts, says he isn’t sure what’s worse: the angry emails that accuse him of building machines that will one-day overthrow humanity or the speculative ones enquiring if the sender can have their naughty way with the robots."
"Box of Amazing","2022-05-08 06:01:12+00:00","Apple, Google, and Microsoft want to kill the password with “Passkey” standard","The first Thursday of May is apparently “World Password Day,” and to celebrate Apple, Google, and Microsoft are launching a “joint effort” to kill the password."
"Box of Amazing","2022-05-08 06:01:12+00:00","Influencer culture is everywhere — even in academia","The number of prefixes one can affix to “-fluencer” knows no bounds. Among the “side hustle” hyphenates making headlines in recent weeks: pharma-influencers, ag-influencers, doctor-TikTokers, and fin-fluencers (a portmanteau of financial advisor and influencer)."
"Box of Amazing","2022-05-08 06:01:12+00:00","DALL-E 2 Creates Incredible Images—and Biased Ones You Don’t See","Marcelo Rinesi remembers what it was like to watch Jurassic Park for the first time in a theater. The dinosaurs looked so convincing that they felt like the real thing, a special effects breakthrough that permanently shifted people’s perception of what’s possible."
"Box of Amazing","2022-05-08 06:01:12+00:00","mRNA breakthrough offers a potential heart attack cure","King’s College London researchers are turning to the same technology behind the mRNA COVID-19 vaccines to develop the first damage-reversing heart attack cure."
"Box of Amazing","2022-05-08 06:01:12+00:00","What Is Happening to the People Falling for Crypto and NFTs","To understand the latest incarnation of the colossal crypto grifts that continue to engulf the internet, I suppose we should start with all those bored apes, because how could we not?"
"Box of Amazing","2022-05-08 06:01:12+00:00","7 Essential Ingredients of a Metaverse","1. Decentralization2. Property rights3. Self-sovereign identity4. Composability5. Openness/open source6. Community ownership7. Social Immersion"
"Box of Amazing","2022-05-08 06:01:12+00:00","Drone swarms can now fly autonomously through thick forest","“This is the first time there’s a swarm of drones successfully flying outside in an unstructured environment, in the wild”"
"Box of Amazing","2022-05-01 06:01:10+00:00","Build your campaign where achievers build their future.","Quizlet Ads is the premier digital partner to reach highly-engaged Gen Z and Millennial achievers at every phase of their personal, academic and professional development."
"Box of Amazing","2022-05-01 06:01:10+00:00","103 Bits of Advice I Wish I Had Known","Almost anything that Kevin Kelly writes is worth reading. These annual bits of advice that come on his birthday (this year he’s 70) are golden.  I also had a birthday this week - my advice is: enjoy life more - it’s the biggest regret from those at the tail end of their lives."
"Box of Amazing","2022-05-01 06:01:10+00:00","Inside Zelensky's World","The nights are the hardest, when he lies there on his cot, the whine of the air-raid sirens in his ears and his phone still buzzing beside him. Its screen makes his face look like a ghost in the dark, his eyes scanning messages he didn’t have a chance to read during the day."
"Box of Amazing","2022-05-01 06:01:10+00:00","This Man Married a Fictional Character. He’d Like You to Hear Him Out.","In almost every way, Akihiko Kondo is an ordinary Japanese man. He’s pleasant and easy to talk to. He has friends and a steady job and wears a suit and tie to work. There’s just one exception: Mr. Kondo is married to a fictional character."
"Box of Amazing","2022-05-01 06:01:10+00:00","Elon's Giant Package","A mini-grand theory on what he’s up to with Twitter"
"Box of Amazing","2022-05-01 06:01:10+00:00","Two weeks, no smartphone: how I tried – and failed – to kick my screen addiction ","James Ball spends countless hours a week staring at his iPhone. Would a fortnight with just old-school text messages and games of Snake shake him out of it?"
"Box of Amazing","2022-05-01 06:01:10+00:00","You Will Be Eating Cultured Meat Soon: Here’s What You Need to Know","Cultured meat promises to change the way we eat and help solve some of the big problems of a crowded planet. When will it be on our plate and how will this technology impact the world?"
"Box of Amazing","2022-05-01 06:01:10+00:00","Actors launch campaign against AI 'show stealers'","Actors’ livelihoods are at risk from artificial intelligence (AI) unless the law changes, a union warns. Equity, the performing arts workers union, has launched a new campaign, “Stop AI Stealing the Show”."
"Box of Amazing","2022-05-01 06:01:10+00:00","Japanese rail company rolls out VR-piloted Gundam robot worker","The West Japan Rail Company has released video of its new humanoid heavy equipment robot. Mounted on the end of a crane, this gundam-style robot torso mimics the arm and head motions of a human pilot, who sees through the robot’s eyes via VR goggles."
"Box of Amazing","2022-05-01 06:01:10+00:00","When AI companions for lonely people seem a bit too human","Imagine a future in which lonely people can interact with social bots, based on artificial intelligence (AI), to get the conversations and connection they crave."
"Box of Amazing","2022-05-01 06:01:10+00:00","Crypto is winning, and Bitcoin diehards are furious about it","There’s a great disturbance in the crypto."
"Box of Amazing","2022-05-01 06:01:10+00:00","The scientist who co-created CRISPR isn’t ruling out engineered babies someday","Doudna heads the Innovative Genomics Institute at the University of California, Berkeley, and the work coming out of her laboratory continues to focus on the molecular details of how the CRISPR system works. Perhaps more than anyone, she has been able to relay to the public the formidable power of versatile gene editing as well as the possible downsides of the technology."
"Box of Amazing","2022-04-24 06:01:12+00:00","The Uber Bubble","Why is Uber, a company that has lost over $20 billion and shows no signs that it could ever achieve sustainable profits, still widely seen as a successful, highly innovative company that has years of highly-profitable growth ahead? Why is it widely believed that Uber has brought major improvements to urban transport and huge welfare benefits for passengers when it has failed to establish a sustainably viable business model and was always explicitly pursuing artificial market power enabled by quasi-monopoly industry dominance?"
"Box of Amazing","2022-04-24 06:01:12+00:00","The End of Alcohol","Glamorous influencers are blending science and superstition to help people “change their relationship to drinking.”"
"Box of Amazing","2022-04-24 06:01:12+00:00","The Tech Bubble That Never Burst - The New York Times","For a decade, warnings about a tech bubble have only led to more money flooding into high-growth start-ups. Could this one be it?"
"Box of Amazing","2022-04-24 06:01:12+00:00","A Murder Solved in DMs","A fascinating story pulled from the cold case archive"
"Box of Amazing","2022-04-24 06:01:12+00:00","Shanghai's stunning fall from grace","The latest take on what’s going on in China."
"Box of Amazing","2022-04-24 06:01:12+00:00","Generation Snitch","When the internet proliferated in the early 2000s, Chinese millennials saw it as a window to a bigger, wider world—one in which China was becoming more integrated. Back then, many Chinese still saw the West as a model to learn from."
"Box of Amazing","2022-04-24 06:01:12+00:00","The Dubious Art of the Dad Joke","“I only know 25 letters of the alphabet. I don’t know y.”"
"Box of Amazing","2022-04-24 06:01:12+00:00","Meet Me in the Metaverse","The metaverse is ushering in the next wave of digital change and is providing forward-looking companies with a opportunity to act today and be ready for the future."
"Box of Amazing","2022-04-24 06:01:12+00:00","Hologram Doctors Visit Space Station For The First Time Ever","Things are getting more and more like “Star Trek” every day as NASA transports doctor holograms into space."
"Box of Amazing","2022-04-24 06:01:12+00:00","This ugly t-shirt makes you invisible to facial recognition tech","Researchers at Northeastern University have developed an adversarial example that works even when printed onto a moving fabric"
"Box of Amazing","2022-04-24 06:01:12+00:00","Walk Away Like a Boss","In theory, a decentralized internet was an appealing prospect."
"Box of Amazing","2022-04-24 06:01:12+00:00","Metaverse and Education: What Do We Need to Know?","Innovations in learning for equity."
"Box of Amazing","2022-04-24 06:01:12+00:00","Artificial intelligence is creating a new colonial world order","An MIT Technology Review series investigates how AI is enriching a powerful few by dispossessing communities that have been dispossessed before."
"Box of Amazing","2022-04-17 06:01:11+00:00","The Factual - Unbiased News, Trending Topics - The Factual","Unbiased news on trending topics. Daily."
"Box of Amazing","2022-04-17 06:01:11+00:00","The Final Pandemic Betrayal","Millions of people are still mourning loved ones lost to COVID, their grief intensified, prolonged, and even denied by the politics of the pandemic."
"Box of Amazing","2022-04-17 06:01:11+00:00","Gen Z’s new favorite app is called BeReal","Downloads of BeReal, Gen Z’s hot new social media app, have skyrocketed in recent months, giving the world’s mobile-first generation a new way to connect through the work or school day. More personalised social media also evolving with Whatsapp groups offering more structured chats."
"Box of Amazing","2022-04-17 06:01:11+00:00","A day in the life of (almost) every vending machine in the world","What’s behind the indestructible appeal of the robotic snack?"
"Box of Amazing","2022-04-17 06:01:11+00:00","Can a tweet be evidence? How social media is being used to hunt down war crimes in Ukraine – Grid News","An expert on human rights investigations explains how to speed the search for justice using Twitter and TikTok."
"Box of Amazing","2022-04-17 06:01:11+00:00","The Marketplace 100: 2022","Marketplace 100 ranks the largest consumer-facing marketplace startups and analyzes the trends behind the next generation of marketplace giants."
"Box of Amazing","2022-04-17 06:01:11+00:00","DALL-E 2, the future of AI research, and OpenAI’s business model","DALL-E 2 shows how far the AI research community has come toward harnessing the power of deep learning and addressing some of its limits."
"Box of Amazing","2022-04-17 06:01:11+00:00","The Metaverse Has Bosses, Too. Meet the 'Managers' of Axie Infinity","Managers in play-to-earn game Axie Infinity employ large teams of “scholars” who can’t afford their own NFTs even as the game’s economy spirals. On the Clock is Motherboard’s reporting on the organized labor movement, gig work, automation, and the future of work."
